index,POI_id,longitude,latitude,Unnamed: 0,UserId,VenueId,TimeZone,Latitude,Longitude,Category,City,CountryCode,Time,Date,Local_Time,L1_Category,RegionId,R_Latitude,R_Longitude,#checked_region,active_regionId_1,active_regionId_2,time_sort,Local_Time_True,L1_Category_index,UserId_index,POI_index
0,413ba880f964a520111c1fe3,-112.117624,33.641348,10053,22431,413ba880f964a520111c1fe3,-420,33.641348,-112.117624,Pizza Place,Phoenix,US,2:18:07,2012415,2012/4/15 2:18,Food,8,33.64824537209302,-112.09229006976744,5,8,2,2012-04-15 02:18:00,2012-04-14 19:18:00,3,39,0
1,413ba880f964a520131c1fe3,-112.064192,33.538693,32361,206461,413ba880f964a520131c1fe3,-420,33.538693,-112.064192,Pizza Place,Phoenix,US,0:26:35,2012410,2012/4/10 0:26,Food,4,33.52096371989529,-112.0698587486911,5,2,-1,2012-04-10 00:26:00,2012-04-09 17:26:00,3,156,1
2,413ba880f964a5201e1c1fe3,-112.071748,33.448301,1478,233,413ba880f964a5201e1c1fe3,-420,33.448301,-112.071748,Nightclub,Phoenix,US,8:52:34,2012429,2012/4/29 8:52,Nightlife Spot,3,33.459221058139526,-112.07305906104652,7,6,-1,2012-04-29 08:52:00,2012-04-29 01:52:00,4,1,2
3,413ba880f964a520251b1fe3,-112.056023,33.431538,15444,46745,413ba880f964a520251b1fe3,-420,33.431538,-112.056023,Mexican Restaurant,Phoenix,US,18:36:34,2012424,2012/4/24 18:36,Food,3,33.459221058139526,-112.07305906104652,7,4,-1,2012-04-24 18:36:00,2012-04-24 11:36:00,3,70,3
4,413ba880f964a5202e1b1fe3,-112.061063,33.509699,6719,12310,413ba880f964a5202e1b1fe3,-420,33.509699,-112.061063,Sushi Restaurant,Phoenix,US,2:31:08,2012423,2012/4/23 2:31,Food,4,33.52096371989529,-112.0698587486911,6,3,-1,2012-04-23 02:31:00,2012-04-22 19:31:00,3,-1,4
5,413ba880f964a520311b1fe3,-112.06903,33.485847,32762,210262,413ba880f964a520311b1fe3,-420,33.485847,-112.06903,Chinese Restaurant,Phoenix,US,2:22:39,2012422,2012/4/22 2:22,Food,3,33.459221058139526,-112.07305906104652,4,4,-1,2012-04-22 02:22:00,2012-04-21 19:22:00,3,-1,5
6,413ba880f964a5206f1b1fe3,-112.083957,33.496386,27165,135315,413ba880f964a5206f1b1fe3,-420,33.496386,-112.083957,Restaurant,Phoenix,US,19:26:15,2012525,2012/5/25 19:26,Food,4,33.52096371989529,-112.0698587486911,7,3,-1,2012-05-25 19:26:00,2012-05-25 12:26:00,3,134,6
7,413ba880f964a520741b1fe3,-112.0741,33.497727000000005,4911,7821,413ba880f964a520741b1fe3,-420,33.497727000000005,-112.0741,Pub,Phoenix,US,3:39:12,2012419,2012/4/19 3:39,Nightlife Spot,4,33.52096371989529,-112.0698587486911,7,8,-1,2012-04-19 03:39:00,2012-04-18 20:39:00,4,16,7
8,413ba880f964a520751b1fe3,-112.020451,33.496178,15714,47143,413ba880f964a520751b1fe3,-420,33.496178,-112.020451,Italian Restaurant,Phoenix,US,23:46:12,2012404,2012/4/4 23:46,Food,1,33.4931607434555,-112.00071044502614,7,1,-1,2012-04-04 23:46:00,2012-04-04 16:46:00,3,72,8
9,413ba880f964a5208b1b1fe3,-112.074087,33.479787,24900,110058,413ba880f964a5208b1b1fe3,-420,33.479787,-112.074087,BBQ Joint,Phoenix,US,0:50:49,2012504,2012/5/4 0:50,Food,3,33.459221058139526,-112.07305906104652,6,5,-1,2012-05-04 00:50:00,2012-05-03 17:50:00,3,-1,9
