index,POI_id,longitude,latitude,Unnamed: 0,UserId,VenueId,TimeZone,Latitude,Longitude,Category,City,CountryCode,Time,Date,Local_Time,L1_Category,RegionId,R_Latitude,R_Longitude,#checked_region,active_regionId_1,active_regionId_2,time_sort,Local_Time_True,L1_Category_index,UserId_index,POI_index
0,4a5eb95bf964a52019bf1fe3,103.964682,1.335005,155001,52438,4a5eb95bf964a52019bf1fe3,480,1.335005,103.964682,Office,Singapore,SG,1:36:49,2013108,2013/1/8 1:36,Professional & Other Places,2,1.3386770883164674,103.9433236347746,6,5,-1,2013-01-08 01:36:00,2013-01-08 09:36:00,6,778,0
1,4a73e804f964a52099dd1fe3,103.844348,1.281391,35224,2400,4a73e804f964a52099dd1fe3,480,1.281391,103.844348,Temple,Singapore,SG,1:29:25,2012408,2012/4/8 1:29,Professional & Other Places,5,1.2951628714049588,103.8462040707438,8,5,-1,2012-04-08 01:29:00,2012-04-08 09:29:00,6,64,1
2,4ac7f7f1f964a520e9ba20e3,103.840514,1.279386,230529,122487,4ac7f7f1f964a520e9ba20e3,480,1.279386,103.840514,Hotel,Singapore,SG,5:33:43,2012513,2012/5/13 5:33,Travel & Transport,5,1.2951628714049588,103.8462040707438,7,5,-1,2012-05-13 05:33:00,2012-05-13 13:33:00,9,1456,2
3,4ac8148ff964a5208bbb20e3,103.845286,1.282644,36831,2768,4ac8148ff964a5208bbb20e3,480,1.282644,103.845286,Temple,Singapore,SG,12:16:54,2012415,2012/4/15 12:16,Professional & Other Places,5,1.2951628714049588,103.8462040707438,8,2,-1,2012-04-15 12:16:00,2012-04-15 20:16:00,6,71,3
4,4afa194af964a520b71622e3,103.846958,1.2889700000000002,192488,82417,4afa194af964a520b71622e3,480,1.2889700000000002,103.846958,Mall,Singapore,SG,3:39:03,2012404,2012/4/4 3:39,Shop & Service,5,1.2951628714049588,103.8462040707438,5,5,-1,2012-04-04 03:39:00,2012-04-04 11:39:00,8,1091,4
5,4b05880af964a5208aad22e3,103.852641,1.295568,31676,2219,4b05880af964a5208aad22e3,480,1.295568,103.852641,Hotel,Singapore,SG,11:48:35,2012404,2012/4/4 11:48,Travel & Transport,5,1.2951628714049588,103.8462040707438,1,5,-1,2012-04-04 11:48:00,2012-04-04 19:48:00,9,-1,5
6,4b05880af964a52092ad22e3,103.841561,1.301201,125974,34662,4b05880af964a52092ad22e3,480,1.301201,103.841561,Hotel,Singapore,SG,11:09:23,2012428,2012/4/28 11:09,Travel & Transport,5,1.2951628714049588,103.8462040707438,7,7,-1,2012-04-28 11:09:00,2012-04-28 19:09:00,9,564,6
7,4b05880af964a52093ad22e3,103.837152,1.288553,140471,42943,4b05880af964a52093ad22e3,480,1.288553,103.837152,Hotel,Singapore,SG,9:55:32,2012410,2012/4/10 9:55,Travel & Transport,5,1.2951628714049588,103.8462040707438,8,5,-1,2012-04-10 09:55:00,2012-04-10 17:55:00,9,671,7
8,4b05880af964a52094ad22e3,103.841629,1.317065,70294,11061,4b05880af964a52094ad22e3,480,1.317065,103.841629,Hotel,Singapore,SG,12:19:53,2012529,2012/5/29 12:19,Travel & Transport,4,1.3246371744312029,103.85397809425784,7,5,-1,2012-05-29 12:19:00,2012-05-29 20:19:00,9,226,8
9,4b05880af964a52097ad22e3,103.836164,1.302369,261907,172258,4b05880af964a52097ad22e3,480,1.302369,103.836164,Hotel,Singapore,SG,10:25:40,2012405,2012/4/5 10:25,Travel & Transport,5,1.2951628714049588,103.8462040707438,4,3,-1,2012-04-05 10:25:00,2012-04-05 18:25:00,9,1764,9
